Asin,joy,fear,anger,sadness,disgust,shame,guilt
0143122576,23.53,1.47,22.06,1.47,14.71,29.41,7.35
014311977X,20.51,7.69,20.51,5.13,12.82,23.08,10.26
0142004308,19.1,4.49,26.97,2.25,11.24,24.72,11.24
0062073575,7.77,5.83,16.5,6.8,26.21,31.07,5.83
0060584750,18.83,3.59,12.11,5.83,22.87,25.56,11.21
0142004146,8.16,10.2,28.57,0.0,20.41,30.61,2.04
0071395970,8.7,0.0,26.09,4.35,21.74,30.43,8.7
0143114964,3.74,0.0,23.83,0.47,31.31,33.64,7.01
0062510266,21.74,4.35,17.39,4.35,13.04,21.74,17.39
0142003344,8.33,0.0,41.67,0.0,18.75,22.92,8.33
0061286052,13.04,0.0,26.09,8.7,17.39,26.09,8.7
0060505915,10.34,0.0,39.66,0.0,15.52,31.03,3.45
0143114956,13.46,0.0,38.46,3.85,15.38,19.23,9.62
0071597174,15.71,2.86,32.86,0.0,12.86,21.43,14.29
0061583251,10.1,0.51,34.34,1.52,14.39,33.59,5.56
0062507540,10.53,0.0,15.79,5.26,21.05,36.84,10.53
014241722X,19.67,1.97,22.62,5.25,13.11,26.89,10.49
0062735241,14.29,7.14,28.57,0.0,7.14,28.57,14.29
0292720807,20.0,0.0,0.0,20.0,40.0,20.0,0.0
0060787295,20.0,2.5,30.0,0.0,10.0,30.0,7.5
0062730983,25.0,0.0,75.0,0.0,0.0,0.0,0.0
0060777508,21.43,0.0,7.14,7.14,7.14,50.0,7.14
0195147073,0.0,0.0,50.0,0.0,50.0,0.0,0.0
0195383869,0.0,0.0,50.0,0.0,0.0,50.0,0.0
0061562335,0.0,0.0,11.11,0.0,22.22,55.56,11.11
0061771848,8.33,0.0,25.0,0.0,33.33,8.33,25.0
0061934712,0.0,4.76,19.05,4.76,9.52,42.86,19.05
0060565446,0.0,0.0,28.57,0.0,14.29,57.14,0.0
0061840254,14.15,0.94,34.91,3.77,16.98,19.81,9.43
0060575298,21.05,5.26,15.79,10.53,10.53,26.32,10.53
0142302406,15.38,15.38,30.77,0.0,0.0,30.77,7.69
014130975X,2.94,5.88,11.76,5.88,23.53,44.12,5.88
0061992704,11.81,1.49,13.76,5.39,10.89,46.79,9.86
0142002208,50.0,0.0,25.0,0.0,0.0,25.0,0.0
0060538260,6.1,1.22,10.98,0.0,24.39,47.56,9.76
0061713163,7.69,0.0,46.15,0.0,7.69,23.08,15.38
0143115340,27.27,0.0,4.55,0.0,13.64,45.45,9.09
0071422986,20.0,0.0,30.0,0.0,30.0,20.0,0.0
0062103377,22.58,3.23,19.35,0.0,25.81,22.58,6.45
0060890681,14.13,4.89,11.41,4.35,23.37,32.07,9.78
0140286012,20.0,20.0,0.0,20.0,0.0,40.0,0.0
0071343075,7.69,0.0,30.77,7.69,15.38,30.77,7.69
0143122029,18.11,0.0,36.22,2.36,16.54,22.05,4.72
007175489X,33.33,0.0,8.33,0.0,16.67,33.33,8.33
0061998540,14.29,2.38,14.29,2.38,19.05,40.48,7.14
0061997102,21.41,10.12,12.94,13.88,15.76,18.82,7.06
0061771880,5.0,0.0,30.0,0.0,20.0,30.0,15.0
0140384235,33.33,33.33,0.0,0.0,33.33,0.0,0.0
0142418897,21.43,7.14,28.57,7.14,14.29,14.29,7.14
0061726834,7.34,2.99,23.1,2.72,11.14,39.95,12.77
0143119745,5.88,0.0,17.65,0.0,29.41,41.18,5.88
0142004405,50.0,0.0,25.0,0.0,0.0,25.0,0.0
0071778497,28.57,0.0,14.29,0.0,0.0,28.57,28.57
0061792268,18.09,2.66,22.87,3.72,25.53,22.87,4.26
0143122940,15.91,13.64,15.91,4.55,15.91,27.27,6.82
0143122916,15.24,3.25,16.67,5.28,27.64,27.64,4.27
0143120255,37.5,0.0,12.5,0.0,12.5,37.5,0.0
0306811804,20.0,0.0,20.0,0.0,40.0,0.0,20.0
0062049879,12.27,3.97,16.25,2.53,17.69,39.35,7.94
006101141X,19.44,5.56,16.67,8.33,9.72,30.56,9.72
0062070231,11.76,5.88,27.45,1.96,9.8,19.61,23.53
0007445210,27.27,0.0,36.36,0.0,18.18,18.18,0.0
